Date,Profit,ReturnPct,Gross Profit,Gross Loss,number of transactions,Win Rate,	NetValue,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,10
2025/6/20,-10200,-0.144816424,0,-10200,1,0,9.985518358,,,,,
2025/6/19,-120800,-1.686161749,0,-120800,1,0,9.817146367,,,,,
2025/6/18,29800,0.41769455,29800,0,1,100,9.858152052,,,,,
2025/6/17,25400,0.357293572,25400,0,1,100,9.893374596,,,,,
2025/6/16,18400,0.259498491,18400,0,1,100,9.919047753,,,,,
2025/6/15,0,0,0,0,1,0,9.919047753,,,,,
2025/6/14,0,0,0,0,1,0,9.919047753,,,,,
2025/6/13,-62400,-0.872361247,0,-62400,1,0,9.832517825,,,,,
2025/6/12,-19800,-0.276042828,0,-19800,1,0,9.805375864,,,,,
2025/6/11,47600,0.668051423,47600,0,1,100,9.870880817,,,,,
2025/6/10,204800,2.959366511,204800,0,2,100,10.16299636,,,,,
2025/6/9,89400,1.30873957,89400,0,2,100,10.29600351,,,,,
2025/6/8,0,0,0,0,2,0,10.29600351,,,,,
2025/6/7,0,0,0,0,2,0,10.29600351,,,,,
2025/6/6,15000,0.220070423,15000,0,2,100,10.31866197,,,,,
2025/6/5,42600,0.628930818,42600,0,2,100,10.38355922,,,,,
2025/6/4,306600,4.741139358,306600,0,2,100,10.87585823,,,,,
2025/6/3,-137700,-2.084942085,0,-137700,2,0,10.64910288,,,,,
2025/5/2,-73100,-1.094704684,0,-73100,1,0,10.53252666,,,,,
2025/5/1,0,0,0,0,1,0,10.53252666,,,,,
2025/4/30,1000,0.014977683,1000,0,1,100,10.53410418,,,,,
2025/4/29,-37800,-0.562969141,0,-37800,1,0,10.47480043,,,,,
2025/4/28,-18400,-0.273288973,0,-18400,1,0,10.44617395,,,,,
2025/4/27,0,0,0,0,1,0,10.44617395,,,,,
2025/4/26,0,0,0,0,1,0,10.44617395,,,,,
2025/4/25,-81400,-1.194564292,0,-81400,1,0,10.32138769,,,,,
2025/4/24,17600,0.258953006,17600,0,1,100,10.34811523,,,,,
2025/4/23,-151400,-2.179044329,0,-151400,1,0,10.12262522,,,,,
2025/4/22,60400,0.876938266,60400,0,1,100,10.21139439,,,,,
2025/4/21,46200,0.675300377,46200,0,1,100,10.28035197,,,,,
2025/4/20,0,0,0,0,1,0,10.28035197,,,,,
2025/4/19,0,0,0,0,1,0,10.28035197,,,,,
2025/4/18,7800,0.114141887,7800,0,1,100,10.29208616,,,,,
2025/4/17,35800,0.526640972,35800,0,1,100,10.34628851,,,,,
2025/4/16,50000,0.740982246,50000,0,1,100,10.42295267,,,,,
2025/4/15,-61400,-0.901721201,0,-61400,1,0,10.32896669,,,,,
2025/4/14,6600,0.097021727,6600,0,1,100,10.33898803,,,,,
2025/4/13,0,0,0,0,1,0,10.33898803,,,,,
2025/4/12,0,0,0,0,1,0,10.33898803,,,,,
2025/4/11,-124400,-1.795871229,0,-124400,1,0,10.15331312,,,,,
2025/4/10,-339600,-4.673437371,0,-339600,1,0,9.678804393,,,,,
2025/4/9,197200,2.789487085,197200,0,1,100,9.948793391,,,,,
2025/4/8,195400,2.842595287,195400,0,1,100,10.23159732,,,,,
2025/4/7,427400,6.629851395,427400,0,1,100,10.90993702,,,,,
2025/4/6,0,0,0,0,1,0,10.90993702,,,,,
2025/4/5,0,0,0,0,1,0,10.90993702,,,,,
2025/4/4,0,0,0,0,1,0,10.90993702,,,,,
2025/4/3,0,0,0,0,1,0,10.90993702,,,,,
2025/4/2,-24600,-0.380145877,0,-24600,1,0,10.86846335,,,,,
2025/4/1,-82400,-1.257324219,0,-82400,1,0,10.73181152,,,,,
2025/3/31,166800,2.6116365,166800,0,1,100,11.01208743,,,,,
2025/3/30,0,0,0,0,1,0,11.01208743,,,,,
2025/3/29,0,0,0,0,1,0,11.01208743,,,,,
2025/3/28,73000,1.156197536,73000,0,1,100,11.13940891,,,,,
2025/3/27,67400,1.079021516,67400,0,1,100,11.25960553,,,,,
2025/3/26,-1400,-0.022407888,0,-1400,1,0,11.25708249,,,,,
2025/3/25,-27600,-0.439812602,0,-27600,1,0,11.20757243,,,,,
2025/3/24,3400,0.054209184,3400,0,1,100,11.21364796,,,,,
2025/3/23,0,0,0,0,1,0,11.21364796,,,,,
2025/3/22,0,0,0,0,1,0,11.21364796,,,,,
2025/3/21,37600,0.603105351,37600,0,1,100,11.28127807,,,,,
2025/3/20,-80200,-1.27007253,0,-80200,1,0,11.13799766,,,,,
2025/3/19,53200,0.849650238,53200,0,1,100,11.23263168,,,,,
2025/3/18,-14400,-0.229452819,0,-14400,1,0,11.20685809,,,,,
2025/3/17,-39400,-0.623891563,0,-39400,1,0,11.13693945,,,,,
2025/3/16,0,0,0,0,1,0,11.13693945,,,,,
2025/3/15,0,0,0,0,1,0,11.13693945,,,,,
2025/3/14,-8200,-0.129677072,0,-8200,1,0,11.12249739,,,,,
2025/3/13,62400,0.996645903,62400,0,1,100,11.23334931,,,,,
2025/3/12,-40200,-0.637973719,0,-40200,1,0,11.16168349,,,,,
2025/3/11,83000,1.334791419,83000,0,1,100,11.31066868,,,,,
2025/3/10,14800,0.238578844,14800,0,1,100,11.33765354,,,,,
2025/3/9,0,0,0,0,1,0,11.33765354,,,,,
2025/3/8,0,0,0,0,1,0,11.33765354,,,,,
2025/3/7,48600,0.789627608,48600,0,1,100,11.42717879,,,,,
2025/3/6,25000,0.407843649,25000,0,1,100,11.47378381,,,,,
2025/3/5,-60000,-0.969336651,0,-60000,1,0,11.36256422,,,,,
2025/3/4,114100,1.877972908,114100,0,2,100,11.5759501,,,,,
2025/3/3,289900,5.010543054,289900,0,3,100,12.15596806,,,,,
2025/3/2,0,0,0,0,3,0,12.15596806,,,,,
2025/3/1,0,0,0,0,3,0,12.15596806,,,,,
2025/2/28,0,0,0,0,3,0,12.15596806,,,,,
2025/2/27,-29100,-0.500438529,0,-29100,3,0,12.09513491,,,,,
2025/2/14,-144900,-2.431289641,0,-144900,1,0,11.80106715,,,,,
2025/2/13,50400,0.852878465,50400,0,1,100,11.90171591,,,,,
2025/2/12,-12000,-0.202654778,0,-12000,1,0,11.87759651,,,,,
2025/2/11,-63900,-1.067615658,0,-63900,1,0,11.75078943,,,,,
2025/2/3,-635700,-9.601268691,0,-635700,1,0,10.62256457,,,,,
2025/2/2,0,0,0,0,1,0,10.62256457,,,,,
2025/2/1,0,0,0,0,1,0,10.62256457,,,,,
2025/1/31,0,0,0,0,1,0,10.62256457,,,,,
2025/1/30,0,0,0,0,1,0,10.62256457,,,,,
2025/1/29,0,0,0,0,1,0,10.62256457,,,,,
2025/1/28,0,0,0,0,1,0,10.62256457,,,,,
2025/1/27,0,0,0,0,1,0,10.62256457,,,,,
2025/1/26,0,0,0,0,1,0,10.62256457,,,,,
2025/1/25,0,0,0,0,1,0,10.62256457,,,,,
2025/1/24,0,0,0,0,1,0,10.62256457,,,,,
2025/1/23,0,0,0,0,1,0,10.62256457,,,,,
2025/1/22,199800,3.111567931,199800,0,1,100,10.95309288,,,,,
2025/1/21,-38100,-0.589847197,0,-38100,1,0,10.88848637,,,,,
2025/1/8,-150300,-2.273965142,0,-150300,1,0,10.64088598,,,,,
2025/1/7,-140700,-2.084351807,0,-140700,1,0,10.41909248,,,,,
2024/12/31,-124500,-1.810961773,0,-124500,1,0,10.2304067,,,,,
2024/12/30,-117000,-1.673388827,0,-117000,1,0,10.05921222,,,,,
2024/12/29,0,0,0,0,1,0,10.05921222,,,,,
2024/12/28,0,0,0,0,1,0,10.05921222,,,,,
2024/12/27,27600,0.39631257,27600,0,1,100,10.09907814,,,,,
2024/12/26,-1800,-0.025839793,0,-1800,1,0,10.09646856,,,,,
2024/12/25,67800,0.982865095,67800,0,1,100,10.19570323,,,,,
2024/12/24,-136500,-1.940381253,0,-136500,1,0,9.997867713,,,,,
2024/12/3,-216300,-2.983036823,0,-216300,1,0,9.699627638,,,,,
2024/12/2,-308400,-4.079688864,0,-308400,1,0,9.303913009,,,,,
2024/12/1,0,0,0,0,1,0,9.303913009,,,,,
2024/11/30,0,0,0,0,1,0,9.303913009,,,,,
2024/11/29,14400,0.190854871,14400,0,1,100,9.32166998,,,,,
2024/11/28,6000,0.079586152,6000,0,1,100,9.329088739,,,,,
2024/11/27,109500,1.47385423,109500,0,1,100,9.466585908,,,,,
2024/11/22,-270900,-3.517999065,0,-270900,1,0,9.133551504,,,,,
2024/11/21,67800,0.888294945,67800,0,1,100,9.21468438,,,,,
2024/11/20,98400,1.306044437,98400,0,1,100,9.335032253,,,,,
2024/11/19,-165600,-2.150705213,0,-165600,1,0,9.134263228,,,,,
2024/11/18,-3900,-0.050625024,0,-3900,1,0,9.129639005,,,,,
2024/11/13,-68100,-0.876244885,0,-68100,1,0,9.04964101,,,,,
2024/11/12,-422400,-5.154865637,0,-422400,1,0,8.583144175,,,,,
2024/11/11,-124800,-1.50018031,0,-124800,1,0,8.454381536,,,,,
2024/11/10,0,0,0,0,1,0,8.454381536,,,,,
2024/11/9,0,0,0,0,1,0,8.454381536,,,,,
2024/11/8,149400,1.828730905,149400,0,1,100,8.608989424,,,,,
2024/11/7,213300,2.680894386,213300,0,1,100,8.839787338,,,,,
2024/11/1,-100100,-1.242490442,0,-100100,1,0,8.729953826,,,,,
2024/10/31,0,0,0,0,1,0,8.729953826,,,,,
2024/10/30,-14400,-0.178420974,0,-14400,1,0,8.714377757,,,,,
2024/10/29,-70000,-0.859866352,0,-70000,1,0,8.639445755,,,,,
2024/10/28,-31000,-0.379353386,0,-31000,1,0,8.606671725,,,,,
2024/10/27,0,0,0,0,1,0,8.606671725,,,,,
2024/10/26,0,0,0,0,1,0,8.606671725,,,,,
2024/10/25,35400,0.435081854,35400,0,1,100,8.644117792,,,,,
2024/10/24,-20400,-0.250098078,0,-20400,1,0,8.622499019,,,,,
2024/10/23,-45400,-0.553510034,0,-45400,1,0,8.574772622,,,,,
2024/10/22,13200,0.161191843,13200,0,1,100,8.588594456,,,,,
2024/10/21,-18000,-0.219324966,0,-18000,1,0,8.569757524,,,,,
2024/10/20,0,0,0,0,1,0,8.569757524,,,,,
2024/10/19,0,0,0,0,1,0,8.569757524,,,,,
2024/10/18,80200,0.986858296,80200,0,1,100,8.654328887,,,,,
2024/10/17,54000,0.668912893,54000,0,1,100,8.712218809,,,,,
2024/10/16,-47800,-0.588626456,0,-47800,1,0,8.660936384,,,,,
2024/10/15,85400,1.062823576,85400,0,2,100,8.752986858,,,,,
2024/10/14,38400,0.480192077,38400,0,2,100,8.795018007,,,,,
2024/10/13,0,0,0,0,2,0,8.795018007,,,,,
2024/10/12,0,0,0,0,2,0,8.795018007,,,,,
2024/10/11,84000,1.061571125,84000,0,2,100,8.888383379,,,,,
2024/10/10,0,0,0,0,2,0,8.888383379,,,,,
2024/10/9,50800,0.646146019,50800,0,2,100,8.945815314,,,,,
2024/10/8,-81600,-1.027242056,0,-81600,2,0,8.853920137,,,,,
2024/10/7,198000,2.556290023,198000,0,2,100,9.080252014,,,,,
2024/10/6,0,0,0,0,2,0,9.080252014,,,,,
2024/10/5,0,0,0,0,2,0,9.080252014,,,,,
2024/10/4,-42800,-0.549535206,0,-42800,2,0,9.030352832,,,,,
2024/10/3,0,0,0,0,2,0,9.030352832,,,,,
2024/10/2,0,0,0,0,2,0,9.030352832,,,,,
2024/10/1,26000,0.334947954,26000,0,2,100,9.060599814,,,,,
2024/9/30,-223200,-2.795031056,0,-223200,2,0,8.807353236,,,,,
2024/9/29,0,0,0,0,2,0,8.807353236,,,,,
2024/9/28,0,0,0,0,2,0,8.807353236,,,,,
2024/9/27,-29200,-0.364325997,0,-29200,2,0,8.775265758,,,,,
2024/9/26,66000,0.83031401,66000,0,2,100,8.848128019,,,,,
2024/9/25,183300,2.36044041,183300,0,3,100,9.056982809,,,,,
2024/9/24,91800,1.196293835,91800,0,3,100,9.165330936,,,,,
2024/9/23,70800,0.931223612,70800,0,3,100,9.250680661,,,,,
2024/9/22,0,0,0,0,3,0,9.250680661,,,,,
2024/9/21,0,0,0,0,3,0,9.250680661,,,,,
2024/9/20,-64500,-0.841223883,0,-64500,3,0,9.172861726,,,,,
2024/9/19,-58300,-0.754624176,0,-58300,1,0,9.103641094,,,,,
2024/9/18,38800,0.504754843,38800,0,1,100,9.149592163,,,,,
2024/9/17,0,0,0,0,1,0,9.149592163,,,,,
2024/9/16,1400,0.018216121,1400,0,1,100,9.151258864,,,,,
2024/9/15,0,0,0,0,1,0,9.151258864,,,,,
2024/9/14,0,0,0,0,1,0,9.151258864,,,,,
2024/9/13,-21800,-0.282848728,0,-21800,1,0,9.125374645,,,,,
2024/9/12,-141200,-1.799069886,0,-141200,1,0,8.961202778,,,,,
2024/9/11,-1000,-0.012739665,0,-1000,1,0,8.96006115,,,,,
2024/9/10,14600,0.18634571,14600,0,1,100,8.97675784,,,,,
2024/9/9,49200,0.631927765,49200,0,1,100,9.033484465,,,,,
2024/9/8,0,0,0,0,1,0,9.033484465,,,,,
2024/9/7,0,0,0,0,1,0,9.033484465,,,,,
2024/9/6,-27200,-0.348142175,0,-27200,1,0,9.002035096,,,,,
2024/9/5,-47200,-0.600501266,0,-47200,1,0,8.947977761,,,,,
2024/9/4,612000,8.443592114,612000,0,2,100,9.703508506,,,,,
2024/9/3,300,0.004139187,300,0,2,100,9.703910152,,,,,
2024/7/18,-68500,-0.936265599,0,-68500,1,0,9.61305578,,,,,
2024/7/17,-64600,-0.875232018,0,-64600,1,0,9.528919237,,,,,
2024/7/16,29800,0.405381508,29800,0,1,100,9.567547714,,,,,
2024/7/15,9000,0.122580733,9000,0,1,100,9.579275684,,,,,
2024/7/14,0,0,0,0,1,0,9.579275684,,,,,
2024/7/13,0,0,0,0,1,0,9.579275684,,,,,
2024/7/12,-111800,-1.499885966,0,-111800,1,0,9.435597472,,,,,
2024/7/11,73400,0.994512567,73400,0,1,100,9.529435675,,,,,
2024/7/10,24400,0.331697503,24400,0,1,100,9.561044575,,,,,
2024/7/9,-7000,-0.095068653,0,-7000,1,0,9.551955019,,,,,
2024/7/8,68600,0.940434574,68600,0,1,100,9.641784906,,,,,
2024/7/7,0,0,0,0,1,0,9.641784906,,,,,
2024/7/6,0,0,0,0,1,0,9.641784906,,,,,
2024/7/5,-10800,-0.147837871,0,-10800,1,0,9.627530697,,,,,
2024/7/4,87800,1.216487703,87800,0,1,100,9.744648424,,,,,
2024/7/3,70800,0.990667021,70800,0,1,100,9.841185442,,,,,
2024/7/2,-32000,-0.44576316,0,-32000,1,0,9.797317063,,,,,
2024/7/1,1600,0.022293127,1600,0,1,100,9.799501191,,,,,
2024/6/30,0,0,0,0,1,0,9.799501191,,,,,
2024/6/29,0,0,0,0,1,0,9.799501191,,,,,
2024/6/28,38000,0.532279979,38000,0,1,100,9.851661974,,,,,
2024/6/27,-15800,-0.220827685,0,-15800,1,0,9.829906777,,,,,
2024/6/26,25800,0.361897014,25800,0,1,100,9.865480916,,,,,
2024/6/25,-600,-0.008415501,0,-600,1,0,9.864650687,,,,,
2024/6/24,-92800,-1.284873659,0,-92800,1,0,9.737902388,,,,,
2024/6/23,0,0,0,0,1,0,9.737902388,,,,,
2024/6/22,0,0,0,0,1,0,9.737902388,,,,,
2024/6/21,-33600,-0.463058668,0,-33600,1,0,9.692810187,,,,,
2024/6/20,30600,0.423500104,30600,0,1,100,9.733859248,,,,,
2024/6/19,87800,1.230088124,87800,0,1,100,9.853594295,,,,,
2024/6/18,119600,1.704164945,119600,0,2,100,10.02151579,,,,,
2024/6/17,-13600,-0.193409844,0,-13600,2,0,10.0021332,,,,,
2024/6/16,0,0,0,0,2,0,10.0021332,,,,,
2024/6/15,0,0,0,0,2,0,10.0021332,,,,,
2024/6/14,75200,1.081003378,75200,0,2,100,10.11025659,,,,,
2024/6/13,159500,2.34662351,159500,0,3,100,10.34750625,,,,,
2024/6/12,148800,2.238199813,148800,0,3,100,10.57910412,,,,,
