TradeID,OrderID,OrderType,Signal,Date,Time,Price,Quantity,Profit,ProfitPct,CumulativeProfit,CumulativeProfitPct,MaxPotentialProfit,MaxPotentialProfitPct,MaxPotentialLoss,MaxPotentialLossPct
1,1,Enter Short,SE_NON2,2001/2/26,01:45:00 PM,5738,1,32400,2.823283374,32400,32.4,34500,3.006273963,-16700,-1.455210875
,2,Exit Short,SX_3,2001/3/1,09:05:00 AM,5571,1,,,,,,,,
2,3,Enter Short,SE_NON2,2001/2/26,01:45:00 PM,5738,1,43800,3.816660857,76200,76.2,46100,4.017079122,-16700,-1.455210875
,4,Exit Short,SX_P,2001/3/1,12:15:00 PM,5514,1,,,,,,,,
3,5,Enter Short,SE_NON2,2001/2/26,01:45:00 PM,5738,1,27000,2.352736145,103200,103.2,49900,4.348204949,-16700,-1.455210875
,6,Exit Short,SX_K,2001/3/5,01:25:00 PM,5598,1,,,,,,,,
4,7,Enter Short,SE_NON2,2001/3/6,01:45:00 PM,5626,3,-70800,-2.097404906,32400,32.4,1500,0.044436545,-69300,-2.052968361
,8,Exit Short,SX_S,2001/3/7,10:45:00 AM,5739,3,,,,,,,,
5,9,Enter Short,SE_NON,2001/4/27,10:05:00 AM,5479,2,94400,4.307355357,126800,126.8,110600,5.04654134,-19400,-0.885198029
,10,Exit Short,SX_P,2001/5/4,01:35:00 PM,5238,2,,,,,,,,
6,11,Enter Short,SE_NON,2001/4/27,10:05:00 AM,5479,1,49000,4.471618909,175800,175.8,69100,6.305895236,-9700,-0.885198029
,12,Exit Short,SX_K,2001/5/9,08:55:00 AM,5229,1,,,,,,,,
7,13,Enter Short,SE_NON,2001/5/10,10:35:00 AM,5158,3,-65400,-2.113222179,110400,110.4,51300,1.657619232,-63900,-2.064753781
,14,Exit Short,SX_S,2001/5/11,01:25:00 PM,5262,3,,,,,,,,
8,15,Enter Short,SE_NON2,2001/5/15,01:45:00 PM,5185,2,6000,0.289296046,116400,116.4,41000,1.976856316,-3000,-0.144648023
,16,Exit Short,SX_K,2001/5/17,10:35:00 AM,5165,2,,,,,,,,
9,17,Enter Short,SE_NON2,2001/5/15,01:45:00 PM,5185,1,44200,4.262295082,160600,160.6,48500,4.676952748,-1500,-0.144648023
,18,Exit Short,SX_P,2001/5/21,01:25:00 PM,4959,1,,,,,,,,
10,19,Enter Short,SE_NON2,2001/5/21,01:45:00 PM,4980,3,-63000,-2.108433735,97600,97.6,4500,0.15060241,-61500,-2.058232932
,20,Exit Short,SX_S,2001/5/23,09:55:00 AM,5080,3,,,,,,,,
11,21,Enter Short,SE_NON,2001/6/1,10:25:00 AM,5041,2,2800,0.138861337,100400,100.4,23000,1.140646697,-8600,-0.426502678
,22,Exit Short,SX_K,2001/6/5,08:55:00 AM,5029,2,,,,,,,,
12,23,Enter Short,SE_NON,2001/6/1,10:25:00 AM,5041,1,-21200,-2.102757389,79200,79.2,11500,1.140646697,-20700,-2.053164055
,24,Exit Short,SX_S,2001/6/6,08:55:00 AM,5142,1,,,,,,,,
13,25,Enter Short,SE_NON2,2001/6/15,08:55:00 AM,5109,2,8400,0.411039342,87600,87.6,9800,0.479545899,-23400,-1.145038168
,26,Exit Short,SX_K,2001/6/18,10:45:00 AM,5083,2,,,,,,,,
